role,Mx,Ny,complex_dim,T_over_tau,T_seconds,T_days,G_M,J_shift_plus,J_shift_minus,angle_deg,Delta_shift,rank_M,rank_shift,dominant_m_M,dominant_m_shift,lambda_x_M_km,lambda_x_shift_km,hermiticity_KM,hermiticity_Kshift,KM_min_eig,denominator_safe,next_role,eps_G_to_next,eps_Jplus_to_next,eps_absJminus_to_next,mu_M_to_next,theta_M_to_next_deg,mu_shift_to_next,theta_shift_to_next_deg,vanloan_worst_block_rel,direct_energy_rel,direct_shift_rel,resolution_robust_for_verdict
smoke,8,16,128,0.25,12500,0.144675925925926,1.10733589632184,0.00586668233311946,-0.00586668233311946,90,0.999999999999999,1,1,6,7,3333.33333333333,2857.14285714286,5.11426672927853e-17,1.24866341032649e-16,0.852290875328489,True,coarse,0.015265401146244187,0.21124579058039183,0.2112457905803893,0.0,,0.0,,,,,False
smoke,8,16,128,0.5,25000,0.289351851851852,1.22569809101054,0.0116156362659638,-0.0116156362659638,90,0.999999999999999,1,1,6,7,3333.33333333333,2857.14285714286,7.90930927377987e-17,1.47677848245788e-16,0.726692913782133,True,coarse,0.029593895409497816,0.2112510167533294,0.21125101675332555,0.0,,0.0,,,,,False
smoke,8,16,128,1,50000,0.578703703703704,1.49754917977144,0.0229780115800845,-0.0229780115800845,69.9022828980339,0.999999999999998,1,1,6,6,3333.33333333333,3333.33333333333,1.26514812698323e-16,1.4775668727499e-16,0.529770506295921,True,coarse,0.05439908083231125,0.21054333761665037,0.2105433376166473,0.0,,0.0,,,,,False
smoke,8,16,128,2,100000,1.15740740740741,2.1884891205999,0.0466958471547926,-0.0466958471547925,66.7966577604093,0.999999999999997,1,1,6,6,3333.33333333333,3333.33333333333,1.42604979466814e-16,2.19398192686679e-16,0.287602957608289,True,coarse,0.091895214765596,0.21324216713421232,0.21324216713421276,0.5858657931797,90.0,0.0,,,,,False
smoke,8,16,128,4,200000,2.31481481481481,4.12527902344537,0.106832930791271,-0.10683293079127,90,0.999999999999995,1,1,5,6,4000,3333.33333333333,1.86448455902769e-16,2.99132010594949e-16,0.0960333659930715,True,coarse,0.14995122106444653,0.24933090792539905,0.249330907925401,0.5448165277012811,90.0,0.6701487362242335,90.0,,,,False
smoke,8,16,128,8,400000,4.62962962962963,7.94112146092905,0.297665573546142,-0.297665573546139,53.5079466580882,0.999999999999992,1,1,5,5,4000,4000,2.19787781299008e-16,2.9944948648274e-16,0.019763739491066,True,coarse,0.2761886081532838,0.329164513392818,0.3291645133928196,0.3229993781658107,25.106956513842093,0.32429402378502853,90.0,,,,False
coarse,12,24,288,0.25,12500,0.144675925925926,1.12450186843318,0.00743790938046006,-0.00743790938046003,75.8343962401189,0.999999999999999,1,1,11,11,1818.18181818182,1818.18181818182,7.80834069466359e-17,2.45541933548168e-16,0.839280313223315,True,primary,0.010230839141829717,0.11698046689449082,0.11698046689449483,0.0,,0.0,,,,,False
coarse,12,24,288,0.5,25000,0.289351851851852,1.26307747366013,0.0147266576726999,-0.0147266576726998,75.2543203416643,0.999999999999998,1,1,11,11,1818.18181818182,1818.18181818182,1.47795885796611e-16,2.85943621786307e-16,0.70518723969684,True,primary,0.01975015336489114,0.11713127141890708,0.11713127141891184,0.0,,0.0,,,,,False
coarse,12,24,288,1,50000,0.578703703703704,1.58370106184919,0.0291061088910372,-0.029106108891037,90,0.999999999999998,1,1,10,11,2000,1818.18181818182,1.46563192335424e-16,4.71062312285349e-16,0.500951477701355,True,primary,0.03477659972694935,0.11882591059354947,0.1188259105935525,0.0,,0.0,,,,,False
coarse,12,24,288,2,100000,1.15740740740741,2.40995219514783,0.0593522494522891,-0.059352249452289,90,1,1,1,8,9,2500,2222.22222222222,1.67384966409949e-16,7.24330558834051e-16,0.261173622051654,True,primary,0.04968731053007663,0.11732006288316581,0.11732006288315859,0.6601233555264256,90.0,0.0,,,,,False
coarse,12,24,288,4,200000,2.31481481481481,4.85299094083885,0.142316943536359,-0.142316943536359,90,1.00000000000001,1,1,6,7,3333.33333333333,2857.14285714286,2.07656233833158e-16,7.22536288201455e-16,0.0816330454994811,True,primary,0.07114557384577186,0.10935689239996965,0.10935689239995457,0.6127949078953667,90.0,0.780942690140006,90.0,,,,False
