resolution_role,Mx,Ny,dimension,T_over_tau_ref,T_days,G_E,J_heat_plus,J_heat_minus,J_heat_at_energy_opt,angle_deg_conservative,Delta_heat_conservative,energy_opt_abs_m,energy_opt_n,heat_opt_abs_m,heat_opt_n,hermiticity_residual_K_E,hermiticity_residual_K_heat,augmented_vs_lyapunov_relmax,direct_heat_relres_energy_opt,direct_heat_relres_heat_opt,energy_f_BT,heat_f_BT,energy_tau_over_psi_phase_deg,heat_tau_over_psi_phase_deg,energy_heat_flux_sign_changes,heatopt_heat_flux_sign_changes,eps_G_to_next_resolution,eps_Jplus_to_next_resolution,eps_absJminus_to_next_resolution,common_mass_energy_to_next,common_mass_heat_to_next,principal_angle_energy_to_next_deg,principal_angle_heat_to_next_deg
qualification_smoke,4,4,64,0.25,0.1808449074,1.05669300974,0.0938779219698,-0.085732393375,0.0938779034935,0.0183765703128,1.96811942572e-07,3,1,3,1,3.87089217229e-17,1.43019920926e-16,4.27872059965e-15,2.95656108443e-16,2.95656050254e-16,0.500297464358,0.500295679309,96.1015653074,96.0648127296,0,0,0,0,0,1,1,8.53773646252e-07,1.20741826973e-06
qualification_smoke,4,4,64,0.5,0.3616898148,1.11544864583,0.191889112235,-0.160370230893,0.191888537384,0.073192930595,2.99574579931e-06,3,1,3,1,5.70930799733e-17,2.96336799892e-16,1.89688500048e-15,2.89288521285e-16,4.33931481975e-16,0.50059035717,0.500583366132,102.177975255,102.031591485,0,0,0,0,0,1,1,0,0
qualification_smoke,4,4,64,1,0.7233796296,1.23420380913,0.395318490428,-0.279425701643,0.395301403398,0.288328902037,4.32234523758e-05,3,1,3,1,6.74138253086e-17,3.34514122238e-16,1.45220154385e-15,1.40427407426e-16,0,0.501145580771,0.501119825097,114.163684146,113.587032415,0,0,0,0,0,1,1,1.47877933347e-06,0
qualification_smoke,4,4,64,2,1.4467592592,1.44304755379,0.793908821817,-0.423870675184,0.793680844969,0.783965999552,0.000287157469798,4,1,4,1,1.10333919638e-16,2.4558980124e-16,1.1804590533e-15,2.79765608976e-16,4.19527908287e-16,0.404799175848,0.408678657376,122.515753831,120.987713337,0,0,0,0,0,1,1,0,1.20741826973e-06
qualification_smoke,4,4,64,4,2.8935185184,1.69825861423,1.49189901304,-0.528819904261,1.48717278212,2.77202145439,0.00316792952134,4,1,4,1,8.0091958166e-17,3.76557632569e-16,1.26828766327e-15,0,1.48833535637e-16,0.348642752569,0.35676455433,151.675475368,145.963884341,0,0,0,0,0,1,1,0,8.53773646252e-07
qualification_smoke,4,4,64,8,5.7870370368,1.12067380045,1.54448994775,-0.459892828869,1.48088081906,90,0.0411845533755,3,2,4,2,7.91128208667e-17,9.33749503827e-16,3.44818200427e-15,0,2.8753130475e-16,0.337279020176,0.176189716991,179.256373553,159.96827284,0,1,0,0,0,1,1,0,1.20741826973e-06
coarse_audit,8,8,256,0.25,0.1808449074,1.05669300974,0.0938779219698,-0.085732393375,0.0938779034935,0.0183765703128,1.96811942572e-07,3,1,3,1,3.17268858786e-17,1.74409616582e-16,4.27872059965e-15,2.95656108443e-16,2.95656050254e-16,0.500297464358,0.500295679309,96.1015653074,96.0648127296,0,0,0,0,0,1,1,8.53773646252e-07,1.20741826973e-06
coarse_audit,8,8,256,0.5,0.3616898148,1.11544864583,0.191889112235,-0.160370230893,0.191888537384,0.073192930595,2.99574579931e-06,3,1,3,1,5.42577714414e-17,3.05393212524e-16,1.89688500048e-15,2.89288521285e-16,4.33931481975e-16,0.50059035717,0.500583366132,102.177975255,102.031591485,0,0,0,0,0,1,1,0,0
coarse_audit,8,8,256,1,0.7233796296,1.23420380913,0.395318490428,-0.279425701643,0.395301403398,0.288328902037,4.32234523758e-05,3,1,3,1,7.24009798026e-17,2.63654554163e-16,1.45220154385e-15,1.40427407426e-16,0,0.501145580771,0.501119825097,114.163684146,113.587032415,0,0,0,0,0,1,1,1.47877933347e-06,0
coarse_audit,8,8,256,2,1.4467592592,1.44304755379,0.793908821817,-0.423870675184,0.793680844969,0.783965999552,0.000287157469798,4,1,4,1,1.0606471283e-16,2.73167387828e-16,1.45847435081e-15,2.79765608976e-16,4.19527908287e-16,0.404799175848,0.408678657376,122.515753831,120.987713337,0,0,0,0,0,1,1,0,1.20741826973e-06
coarse_audit,8,8,256,4,2.8935185184,1.69825861423,1.49189901304,-0.528819904261,1.48717278212,2.77202145439,0.00316792952134,4,1,4,1,8.9537370345e-17,3.68980094555e-16,6.63735841332e-15,0,1.48833535637e-16,0.348642752569,0.35676455433,151.675475368,145.963884341,0,0,0,0,0,1,1,0,8.53773646252e-07
coarse_audit,8,8,256,8,5.7870370368,1.12067380045,1.54448994775,-0.459892828869,1.48088081906,90,0.0411845533755,3,2,4,2,8.22486675504e-17,9.17959594669e-16,7.09368115067e-15,0,2.8753130475e-16,0.337279020176,0.176189716991,179.256373553,159.96827284,0,1,0,0,0,1,1,0,1.20741826973e-06
primary,12,12,576,0.25,0.1808449074,1.05669300974,0.0938779219698,-0.085732393375,0.0938779034935,0.0183765703128,1.96811942572e-07,3,1,3,1,3.42938417634e-17,2.19252574583e-16,4.27872059965e-15,2.95656108443e-16,2.95656050254e-16,0.500297464358,0.500295679309,96.1015653074,96.0648127296,0,0,0,0,0,1,1,8.53773646252e-07,1.20741826973e-06
primary,12,12,576,0.5,0.3616898148,1.11544864583,0.191889112235,-0.160370230893,0.191888537384,0.073192930595,2.99574579931e-06,3,1,3,1,6.08770197621e-17,2.92419874454e-16,1.89688500048e-15,2.89288521285e-16,4.33931481975e-16,0.50059035717,0.500583366132,102.177975255,102.031591485,0,0,0,0,0,1,1,0,0
primary,12,12,576,1,0.7233796296,1.23420380913,0.395318490428,-0.279425701643,0.395301403398,0.288328902037,4.32234523758e-05,3,1,3,1,7.44296604589e-17,2.58978610425e-16,1.45220154385e-15,1.40427407426e-16,0,0.501145580771,0.501119825097,114.163684146,113.587032415,0,0,0,0,0,1,1,1.47877933347e-06,0
primary,12,12,576,2,1.4467592592,1.44304755379,0.793908821817,-0.423870675184,0.793680844969,0.783965999552,0.000287157469798,4,1,4,1,9.62952401437e-17,2.8291311311e-16,6.34029683282e-15,2.79765608976e-16,4.19527908287e-16,0.404799175848,0.408678657376,122.515753831,120.987713337,0,0,0,0,0,1,1,0,1.20741826973e-06
primary,12,12,576,4,2.8935185184,1.69825861423,1.49189901304,-0.528819904261,1.48717278212,2.77202145439,0.00316792952134,4,1,4,1,8.52670059813e-17,3.78926420215e-16,8.11127581867e-15,0,1.48833535637e-16,0.348642752569,0.35676455433,151.675475368,145.963884341,0,0,0,0,0,1,1,0,8.53773646252e-07
primary,12,12,576,8,5.7870370368,1.12067380045,1.54448994775,-0.459892828869,1.48088081906,90,0.0411845533755,3,2,4,2,8.43187861818e-17,9.17867559132e-16,3.19328635404e-14,0,2.8753130475e-16,0.337279020176,0.176189716991,179.256373553,159.96827284,0,1,0,0,0,1,1,0,1.20741826973e-06
confirmation,16,16,1024,0.25,0.1808449074,1.05669300974,0.0938779219698,-0.085732393375,0.0938779034935,0.0183765703128,1.96811942572e-07,3,1,3,1,3.90162294134e-17,2.44407930066e-16,4.27872059965e-15,2.95656108443e-16,2.95656050254e-16,0.500297464358,0.500295679309,96.1015653074,96.0648127296,0,0,0,0,0,1,1,8.53773646252e-07,1.20741826973e-06
confirmation,16,16,1024,0.5,0.3616898148,1.11544864583,0.191889112235,-0.160370230893,0.191888537384,0.073192930595,2.99574579931e-06,3,1,3,1,6.58945874537e-17,2.84790040291e-16,1.89688500048e-15,2.89288521285e-16,4.33931481975e-16,0.50059035717,0.500583366132,102.177975255,102.031591485,0,0,0,0,0,1,1,0,0
confirmation,16,16,1024,1,0.7233796296,1.23420380913,0.395318490428,-0.279425701643,0.395301403398,0.288328902037,4.32234523758e-05,3,1,3,1,6.64309042123e-17,2.63000854722e-16,1.55902841294e-15,1.40427407426e-16,0,0.501145580771,0.501119825097,114.163684146,113.587032415,0,0,0,0,0,1,1,1.47877933347e-06,0
