K,T,GE,qmax,qmin,jE,delta,wlowE,wlowQ,phiE,phiQ,rho_low_EQ
1,0.25,1.13254200734,0.110876586174,-0.0877460045776,0.0499321499112,0.549660107384,1,1,0.647369097522,0.557097031587,0.691841020731
1,0.5,1.27891249701,0.20046415689,-0.127624858284,0.106467263249,0.468896261054,1,1,0.665984341863,0.603367417503,0.748408443935
1,1,1.60677837256,0.356794735381,-0.147602619001,0.242189531243,0.321207665846,1,1,0.690294372055,0.667866922384,0.83066515863
1,2,2.37187278394,0.730104585896,-0.135417955136,0.614251483055,0.158680146761,1,1,0.71369100356,0.719115269675,0.898392244569
1,4,3.74361392295,1.85813951285,-0.110427851439,1.6487397591,0.112693235518,1,1,0.725787248967,0.721539028889,0.91968650215
1,8,4.04698870149,3.8108919805,-0.0790512861281,2.36992841274,0.378117137702,1,1,0.715677111455,0.68864316588,0.522748305183
2,0.25,1.1711028634,0.110879254585,-0.087747546267,0.0399746380485,0.639475948877,0.746061059829,0.999875986406,0.738423905267,0.557098690928,0.591420537941
2,0.5,1.36818554458,0.200565733676,-0.127657340841,0.0877424595444,0.562525173486,0.706262738342,0.997690826504,0.753290746516,0.603439649037,0.670449445576
2,1,1.84486469379,0.36026397324,-0.147877887678,0.214993485244,0.403233458759,0.61814532177,0.963333412709,0.774931829036,0.670631320707,0.796398595195
2,2,3.17768483057,0.795396450848,-0.134890695371,0.644159620623,0.190140187404,0.433247330077,0.771600589409,0.804270057785,0.75036769939,0.903182961683
2,4,7.21476545665,2.62799009053,-0.117627328343,2.39821175133,0.0874350097545,0.129697104588,0.380778940542,0.842543928121,0.812151118508,0.949451940027
2,8,9.51077227015,8.02339434679,-0.0947725752984,6.81066781159,0.15114881343,0.0899163221657,0.0777687439975,0.82939143214,0.842257747375,0.838561587864
4,0.25,1.18619876491,0.110879259046,-0.0877475487768,0.0327004664734,0.70508040228,0.546101573784,0.999875883458,0.792074680203,0.557098693914,0.559188093847
4,0.5,1.40454242908,0.200566512329,-0.127657575186,0.0724401828457,0.638822144313,0.504776963422,0.997679011079,0.804841004137,0.603440271305,0.64310331175
4,1,1.95167653299,0.360394444578,-0.147886625947,0.181999569134,0.494998960522,0.418503493331,0.962115333012,0.82487647519,0.670758870535,0.777863933495
4,2,3.6288632019,0.805985290618,-0.134949728329,0.58582562878,0.273155930265,0.262831927194,0.742113740876,0.855712761249,0.756484628087,0.89146890539
4,4,10.5438876292,3.06694228994,-0.119326196602,2.70435787685,0.118223422163,0.0665218924551,0.270300682175,0.904582398907,0.85286899705,0.926126344713
4,8,31.9828475543,16.5214776795,-0.11331767487,14.690053475,0.110851113927,0.00439638528257,0.015998853155,0.94220543448,0.928090973299,0.700883000844
8,0.25,1.18654635206,0.110879259046,-0.0877475487768,0.0323363251832,0.708364526772,0.537596386306,0.999875883458,0.794525131025,0.557098693914,0.558492413521
8,0.5,1.40543742753,0.200566512338,-0.127657575189,0.0715993762643,0.643014302688,0.496092648035,0.997679010847,0.807309860462,0.603440271313,0.642474349032
8,1,1.95492964337,0.360394470736,-0.147886626454,0.179568936334,0.501743364798,0.408932696278,0.962114956786,0.827660176265,0.670758903716,0.777335867447
8,2,3.652473694,0.806022635857,-0.134949780913,0.575081855976,0.286518975532,0.250995754922,0.741961123599,0.859829921222,0.756513570141,0.890857372932
8,4,11.044495705,3.08756475082,-0.119332487531,2.64443896773,0.143519510957,0.0553660340323,0.263744354003,0.913528520575,0.855087352908,0.922487889013
8,8,54.2207333061,20.5251798725,-0.114901268305,17.9050896179,0.127652486893,0.0022484986817,0.00699804613863,0.968509725827,0.948688041787,0.612718156691
16,0.25,1.18654635398,0.110879259046,-0.0877475487768,0.0323363206633,0.708364567536,0.537596294493,0.999875883458,0.794525160493,0.557098693914,0.558492409697
16,0.5,1.40543743357,0.200566512338,-0.127657575189,0.0715993633984,0.643014366836,0.496092535636,0.997679010847,0.807309896478,0.603440271313,0.642474344795
16,1,1.95492968398,0.360394470736,-0.147886626454,0.179568865801,0.501743560508,0.408932476905,0.962114956786,0.827660249609,0.670758903716,0.777335860876
16,2,3.65247485966,0.806022635864,-0.134949780913,0.575080466467,0.286520699445,0.250994751759,0.741961123565,0.859830331744,0.756513570147,0.890857342695
16,4,11.0447858718,3.08756554715,-0.119332487549,2.6442663791,0.143575629825,0.0553563538946,0.263744020473,0.913537702985,0.855087469576,0.922485374281
16,8,54.7590543848,20.5523767603,-0.114901862135,17.8296491077,0.132477507803,0.00219833852553,0.00695070959991,0.96908245591,0.948848077348,0.61432985275
32,0.25,1.18654635398,0.110879259046,-0.0877475487768,0.0323363206633,0.708364567536,0.537596294493,0.999875883458,0.794525160493,0.557098693914,0.558492409697
32,0.5,1.40543743357,0.200566512338,-0.127657575189,0.0715993633984,0.643014366836,0.496092535636,0.997679010847,0.807309896478,0.603440271313,0.642474344795
32,1,1.95492968398,0.360394470736,-0.147886626454,0.179568865801,0.501743560508,0.408932476905,0.962114956786,0.827660249609,0.670758903716,0.777335860876
32,2,3.65247485966,0.806022635864,-0.134949780913,0.575080466467,0.286520699445,0.250994751759,0.741961123565,0.859830331744,0.756513570147,0.890857342695
32,4,11.0447858718,3.08756554715,-0.119332487549,2.6442663791,0.143575629825,0.0553563538946,0.263744020473,0.913537702985,0.855087469576,0.922485374281
32,8,54.7590544307,20.5523767605,-0.114901862135,17.8296490758,0.132477509363,0.00219833851753,0.00695070959953,0.969082455996,0.948848077349,0.614329852866
64,0.25,1.18654635398,0.110879259046,-0.0877475487768,0.0323363206633,0.708364567536,0.537596294493,0.999875883458,0.794525160493,0.557098693914,0.558492409697
64,0.5,1.40543743357,0.200566512338,-0.127657575189,0.0715993633984,0.643014366836,0.496092535636,0.997679010847,0.807309896478,0.603440271313,0.642474344795
64,1,1.95492968398,0.360394470736,-0.147886626454,0.179568865801,0.501743560508,0.408932476905,0.962114956786,0.827660249609,0.670758903716,0.777335860876
64,2,3.65247485966,0.806022635864,-0.134949780913,0.575080466467,0.286520699445,0.250994751759,0.741961123565,0.859830331744,0.756513570147,0.890857342695
64,4,11.0447858718,3.08756554715,-0.119332487549,2.6442663791,0.143575629825,0.0553563538946,0.263744020473,0.913537702985,0.855087469576,0.922485374281
64,8,54.7590544307,20.5523767605,-0.114901862135,17.8296490758,0.132477509363,0.00219833851753,0.00695070959953,0.969082455996,0.948848077349,0.614329852866
