K,T,alpha,GE,qplus,qminus,jE,delta,theta_deg,phiE,phiQ,phaseE_rad,phaseQ_rad,cohE,cohQ
32,0.25,-0.00757859792851,1.17474002049,0.110347370246,-0.0873636748022,0.0321642075219,0.708518585896,65.5296460893,0.794525160493,0.556997776309,0.422376366508,1.55052563355,0.998102682873,0.996223776822
32,0.5,-0.00757859792851,1.3776079078,0.198692327664,-0.12668999312,0.0707957475609,0.643691588935,61.66734107,0.807309896478,0.603068656475,0.379600546239,1.49122692462,0.993460705639,0.985649281863
32,1,-0.00757859792851,1.87827579465,0.353516930281,-0.14622161969,0.175225203228,0.504337166854,53.3959703434,0.827660249609,0.669590480537,0.305804642354,1.27933228561,0.983830567956,0.96037234128
32,2,-0.00757859792851,3.37165924772,0.76987942684,-0.133649662544,0.545051307144,0.292030299626,40.9757522046,0.859830331744,0.754212432725,0.22059364946,0.80955793723,0.977207708408,0.96229667994
32,4,-0.00757859792851,9.41174568113,2.76273797476,-0.119061194327,2.34979704902,0.149468002218,28.6897452414,0.913537702985,0.853136127764,0.136614730697,0.325110602646,0.982377241697,0.983169465082
32,8,-0.00757859792851,39.7632346459,16.0639684299,-0.115154144296,13.7647568509,0.143128492131,28.0301792477,0.969082455996,0.947422937506,0.0541860976158,0.0925993449977,0.99576665622,0.995470097196
64,0.25,-0.013381761021,1.17474002049,0.110347370246,-0.0873636748022,0.0321642075219,0.708518585896,65.5296460893,0.794525160493,0.556997776309,0.422376366508,1.55052563355,0.998102682873,0.996223776822
64,0.5,-0.013381761021,1.3776079078,0.198692327664,-0.12668999312,0.0707957475609,0.643691588935,61.66734107,0.807309896478,0.603068656475,0.379600546239,1.49122692462,0.993460705639,0.985649281863
64,1,-0.013381761021,1.87827579465,0.353516930281,-0.14622161969,0.175225203228,0.504337166854,53.3959703434,0.827660249609,0.669590480537,0.305804642354,1.27933228561,0.983830567956,0.96037234128
64,2,-0.013381761021,3.37165924772,0.76987942684,-0.133649662544,0.545051307144,0.292030299626,40.9757522046,0.859830331744,0.754212432725,0.22059364946,0.80955793723,0.977207708408,0.96229667994
64,4,-0.013381761021,9.41174568113,2.76273797476,-0.119061194327,2.34979704902,0.149468002218,28.6897452414,0.913537702985,0.853136127764,0.136614730697,0.325110602646,0.982377241697,0.983169465082
64,8,-0.013381761021,39.7632346459,16.0639684299,-0.115154144296,13.7647568509,0.143128492131,28.0301792477,0.969082455996,0.947422937506,0.0541860976158,0.0925993449977,0.99576665622,0.995470097196
96,0.25,-0.015492437971,1.17474002049,0.110347370246,-0.0873636748022,0.0321642075219,0.708518585896,65.5296460893,0.794525160493,0.556997776309,0.422376366508,1.55052563355,0.998102682873,0.996223776822
96,0.5,-0.015492437971,1.3776079078,0.198692327664,-0.12668999312,0.0707957475609,0.643691588935,61.66734107,0.807309896478,0.603068656475,0.379600546239,1.49122692462,0.993460705639,0.985649281863
96,1,-0.015492437971,1.87827579465,0.353516930281,-0.14622161969,0.175225203228,0.504337166854,53.3959703434,0.827660249609,0.669590480537,0.305804642354,1.27933228561,0.983830567956,0.96037234128
96,2,-0.015492437971,3.37165924772,0.76987942684,-0.133649662544,0.545051307144,0.292030299626,40.9757522046,0.859830331744,0.754212432725,0.22059364946,0.80955793723,0.977207708408,0.96229667994
96,4,-0.015492437971,9.41174568113,2.76273797476,-0.119061194327,2.34979704902,0.149468002218,28.6897452414,0.913537702985,0.853136127764,0.136614730697,0.325110602646,0.982377241697,0.983169465082
96,8,-0.015492437971,39.7632346459,16.0639684299,-0.115154144296,13.7647568509,0.143128492131,28.0301792477,0.969082455996,0.947422937506,0.0541860976159,0.0925993449977,0.99576665622,0.995470097196
