horizon,family,t,E_phys,Gamma,J_Gamma_trapz
0.25,modal,0,0.4999999999999999,0.1115255477851469,0
0.25,modal,0.000625,0.5000502297173753,0.1115367515786376,6.970696849315057e-05
0.25,modal,0.00125,0.5001004644807998,0.1115479564976552,0.0001394209397089542
0.25,modal,0.001875,0.5001507042907801,0.1115591625410033,0.0002091399886548846
0.25,modal,0.0025,0.5002009491474878,0.1115703697088122,0.0002788660409248279
0.25,modal,0.003125,0.5002511990502769,0.1115815780011949,0.0003485990972212791
0.25,modal,0.00375,0.5003014540000449,0.1115927874182642,0.0004183391582474226
0.25,modal,0.004375,0.5003517139976906,0.1116039979601339,0.0004880862247061316
0.25,modal,0.005,0.5004019790441129,0.1116152096269171,0.0005578402973000654
0.25,modal,0.005625,0.5004522491402111,0.1116264224187271,0.0006276013767316745
0.25,modal,0.00625,0.5005025242868859,0.1116376363356776,0.0006973694637032058
0.25,modal,0.006875,0.500552804484038,0.1116488513778825,0.0007671445589167081
0.25,modal,0.0075,0.5006030897325693,0.1116600675454559,0.0008369266630740327
0.25,modal,0.008125,0.5006533800333822,0.1116712848385119,0.0009067157768768324
0.25,modal,0.00875,0.5007036753873801,0.1116825032571647,0.0009765119000265631
0.25,modal,0.009375,0.5007539757954666,0.111693722801529,0.001046315033224483
0.25,modal,0.01,0.5008042812585459,0.1117049434717191,0.001116125177171653
0.25,modal,0.010625,0.5008545917775229,0.1117161652678498,0.001185942332568938
0.25,modal,0.01125,0.5009049073533028,0.111727388190036,0.001255766500116999
0.25,modal,0.011875,0.5009552279867915,0.1117386122383925,0.001325597680516309
0.25,modal,0.0125,0.5010055536788953,0.1117498374130349,0.001395435874467146
0.25,modal,0.013125,0.5010558844305204,0.1117610637140785,0.001465281082669596
0.25,modal,0.01375,0.5011062202425732,0.1117722911416387,0.001535133305823551
0.25,modal,0.014375,0.5011565611159602,0.1117835196958311,0.001604992544628711
0.25,modal,0.015,0.5012069070515881,0.1117947493767713,0.001674858799784587
0.25,modal,0.015625,0.5012572580503639,0.1118059801845753,0.0017447320729905
0.25,modal,0.01625,0.5013076141131946,0.1118172121193594,0.001814612365945583
0.25,modal,0.016875,0.5013579752409875,0.11182844518124,0.001884499680348782
0.25,modal,0.0175,0.5014083414346497,0.1118396793703347,0.001954393. /* truncated intentionally? */
